title,img,content,region,price,link
자전거 헬멧,https://dnvefa72aowie.cloudfront.net/origin/article/202202/8f4dcd1f7e7e16dc827f072e1c9fb4a5637fec6e85cc0d3e3a215589a67ac38f.webp?q=82&s=300x300&t=crop,"자전거 헬멧
필요 하신분 문자 주세요^^",전남 해남군 해남읍,"5,000원",https://www.daangn.com/articles/358795712
숀리 스탠딩자전거 판매합니다.,https://dnvefa72aowie.cloudfront.net/origin/article/202201/c072cc3bd7dbc5ed2f3a8a32de820e38d9a1a8a633dcd187a3dfda6673ed5379.webp?q=82&s=300x300&t=crop,숀리 스탠딩자전거입니다 유산소 운동 끝장판입니다. 물건 상태 좋고 가지러 오셔야 합니다. 연락주세요,전남 해남군 해남읍,"30,000원",https://www.daangn.com/articles/342859730
실내용자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202202/75fdf8eee46d1dd437fe09f0925ee2cfed927c62f319790ce146af9ece63bd3e.webp?q=82&s=300x300&t=crop,"구입한지3년정도됐구요 ..실제 사용은 거의 안했어요..거의 새것이나 다름 없음..기스조금 있는정도...
실제로23만원주고 샀어요..택배는 안되구요..가지러 오셔야 해요",전남 해남군 해남읍,"100,000원",https://www.daangn.com/articles/361110316
삼천리자전거 제오7,https://dnvefa72aowie.cloudfront.net/origin/article/202202/3B73215659F8BEFC87FE478C121EE267BCBCB5AE8697CED52CACC69599054F88.jpg?q=82&s=300x300&t=crop,"삼천리자전거 제오7 하이브리드입니다
구입 후 별로 쓰지 않고 오랫동안 쓰지 않아 내놓습니다 쿨거시 60000
자물쇠 추가요",전남 해남군 해남읍,"65,000원",https://www.daangn.com/articles/359506709
산악자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202202/af1dc7d80af314d05a4dfafe0fe238a9534d25245d7649bcba497744fc362aa3.webp?q=82&s=300x300&t=crop,직거래로 하고 직접 오셔야해요,전남 해남군 해남읍,"300,000원",https://www.daangn.com/articles/358503593
자전거 판매해요,https://dnvefa72aowie.cloudfront.net/origin/article/202109/f41db27f9c30d43e6ca45e27763beb8c31af30dcc8b25478285b5e1900ff20b0.webp?q=82&s=300x300&t=crop,"운동용으로 주문해서 샀는데
막 타기에는 너무 부담스럽네요
기어30단 26인치 펫바이크 자전거
저렴하게 드리니 연락주세요",전남 해남군 해남읍,"650,000원",https://www.daangn.com/articles/281325936
자전거 판매,https://dnvefa72aowie.cloudfront.net/origin/article/202202/493e730d80554ed6563b895672fbf23d0375e763f48d9005711d9276bb85f485.webp?q=82&s=300x300&t=crop,"자전거 판매 합니다

판품 안됩니다",전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/356492740
전기자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202202/0525a92944163096c55e33723d24668dfc9d74d49b5e46e269377952fffde4e8.webp?q=82&s=300x300&t=crop,작년10월에98만원에구입하고4만원주고조립하여총102만원들어호기심에구입했지만몇번안타고지금세워둔상태입니다.새것과다름없고작동도잘되고충전기랑그대로다드릴겁니다.마음있으신분연락주세요.,전남 해남군 화원면,"580,000원",https://www.daangn.com/articles/355930257
로드 바이크 판매해요,https://dnvefa72aowie.cloudfront.net/origin/article/202202/33f34a5b0af4bbad90a3d78298613264dcf9b7fcdf6802fcf32423ccd8476e4e.webp?q=82&s=300x300&t=crop,"운동하려고 샀는데 실제론 장식만 해놨던 자전거입니다.
야간전등이랑 벨 달려있어 아이들 타기도 좋구요.
이사가게 되서 내놓습니다.
연락주세요. 
가격 네고 가능 합니다",전남 해남군 해남읍,"140,000원",https://www.daangn.com/articles/359266634
자전거 팝니다!!,https://dnvefa72aowie.cloudfront.net/origin/article/202202/0fc1bed9ecf0bee2471ecdedacf8f869c7a57fc0b8fba287eafd9df152a11986.webp?q=82&s=300x300&t=crop,"여자분들이 타시면 좋을듯합니다.
우리 여자 아이들이 탈려고 샀는데,몇번타지 않아 깨끗합니다.
반으로 접어져서 차량에 싣고 다니기 좋습니다.",전남 해남군 옥천면,"30,000원",https://www.daangn.com/articles/355615246
여성용  자전거 삽니다,https://dnvefa72aowie.cloudfront.net/origin/article/202202/26215671a12422abd2b372530383f80b8c4e555c594c3e010f791252d640d8de.webp?q=82&s=300x300&t=crop,"상태 좋은  여성용 여자 자전거
구해요.저렴하게 주실분!!

해남읍에서 가까운 곳이면 
좋겠어요.  먼거리는  못갑니다

자전거 찍은 사진 보내주세요",전남 해남군 황산면,"50,000원",https://www.daangn.com/articles/353115362
삼천리 모디2자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/F09ECA4249F2AA17C1B1FEAF063C67217FA1B4E6215E25992BE0E525F39D02A3.jpg?q=82&s=300x300&t=crop,"2018년도에 구매해서 사용횟수는 적은데 그냥 냅둬서 이제 아이도 크고 해서 팔려구요~~!!
구매당시 20마넌대에 구매했구요!

색상은 멜란지그레이입니다!

기능이 마주보기 앞보기 되고
등받이 살짝 눕힐수있아요~~~

세탁은 따로 하셔야합니다ㅠ
직접가지러오셨으면좋겠숩니당

사진은올렸어용",전남 해남군 해남읍,"90,000원",https://www.daangn.com/articles/328718191
실내자전거 팔아요,https://dnvefa72aowie.cloudfront.net/origin/article/202201/D715847F34420896B21633C92AC0E196743E15AA514E1697F6BBFA277627D13C.jpg?q=82&s=300x300&t=crop,"원가 140,000 
사용 2개월 주1~2회
연락주세요~~",전남 해남군 해남읍,"90,000원",https://www.daangn.com/articles/350320142
도노도노 전동바운서 외 출산용품 일체 판매합니다,https://dnvefa72aowie.cloudfront.net/origin/article/202202/39de697b3bf1f159051b73f4299bf73c2c1bde29d858ed437b680f6d01b499bb.webp?q=82&s=300x300&t=crop,"도노도노 전동바운서는 거의 사용하지 않았어요
타이니러브 모빌, 유모차, 자전거, 아기욕조,식탁, 장난감 등등 출산 후에 꼭 필요한 용품들이에요
직접 가져가주셔야 돼요 필요하신 분  연락주세요",전남 해남군 해남읍,"300,000원",https://www.daangn.com/articles/354410775
아동 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/0a6de5b927c4a615773ccb217169e524760f6b678603f4ec3907db0a3d887c6c.webp?q=82&s=300x300&t=crop,어린이 자전거 팝니다!,전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/349380167
실내자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/751D7FA45EF1E488194091BE6F1B07BC65B7F8A21434F215E7F570A75AAD833C.jpg?q=82&s=300x300&t=crop,"무게감 있습니다
반품 안되고 직접 오셔서 가지고 가셔야 합니다 ~",전남 해남군 옥천면,"70,000원",https://www.daangn.com/articles/348676339
실내 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/2e79fae50191796c38fb95b4c80069c9f0145dd04a701ecfcf152214e38737f2.webp?q=82&s=300x300&t=crop,"계기판은 작동 안되지만
돌아가는 것은 잘되요
운동하는데는 지장 없어요
부담없이 운동 하실분 연락 주세요
자가용에는 못들어갈것 같아요
가지러 오셔야 해여",전남 해남군 해남읍,"10,000원",https://www.daangn.com/articles/347978068
여성용삼천리자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/2a2811ae704736f13dc30ec58754aecf9187f7c0a7e2d0efda573381b3b34642.webp?q=82&s=300x300&t=crop,상태좋아요,전남 해남군 삼산면,"50,000원",https://www.daangn.com/articles/347773572
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/b0e07a6a09aa8789ea03055c5f33a0a8481e1c8948308ad9dd3e8b53f96b7976.webp?q=82&s=300x300&t=crop,새제품이에요,전남 해남군 해남읍,"30,000원",https://www.daangn.com/articles/347720495
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/c7e6d5eef9c2d44982c43fa0b74fc0548d975adf9c5c8c020d17fbd2203a8d6c.webp?q=82&s=300x300&t=crop,"가격수정해서 다시 올립니다

30만원 가까히 주고산  자전거이며

잠깐  타고 새워놓은 상태입니다",전남 해남군 해남읍,"70,000원",https://www.daangn.com/articles/346951047
픽시 자전거. 콘스탄틴 어베인 2018년식 판매,https://dnvefa72aowie.cloudfront.net/origin/article/202111/467E52D4EAC83C34C791E20CDD2C53FF4DB9C48E1C859F705AE850639A3D2411.jpg?q=82&s=300x300&t=crop,"찔러보기 가능

택거래는 택배비 내주면 가능 입니다

도까 많이 없고 작동 잘됌

원가 740000",전남 해남군 해남읍,"290,000원",https://www.daangn.com/articles/311502461
아동용 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/9409c5a18e7fa1b2ce6df203e8ab9d8f784dc2456a7380450597a6ea002470dd.webp?q=82&s=300x300&t=crop,무료나눔합니다,전남 해남군 해남읍,나눔,https://www.daangn.com/articles/346602073
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202110/6c3d09fcf4a32ffe7a77754200075c842da44f425c765409a775fd58d705ed33.webp?q=82&s=300x300&t=crop,풀카본  105   사이즈 m   165  180,전남 해남군 해남읍,"554,000원",https://www.daangn.com/articles/295832619
실내자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/D40089BF0DD346B3986561D3F2D271EB18B5748C5630EF4EEF9FC4EAA8ED030C.jpg?q=82&s=300x300&t=crop,"실내자전거 팔아요.~~^^
덤으로 다이소 요가매트도 함께드려요.",전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/343743154
실내자전거(사이클) 팝니다.,https://dnvefa72aowie.cloudfront.net/origin/article/202201/bc9e59c9c667066ea45d946275fbdc28ce610cd5a53dec1e66cd753e8b54ab24.webp?q=82&s=300x300&t=crop,"올해 여름에 구매했어요
작동 잘 됩니다. 
이사로 인해 정리합니다
배송 불가하며 직접 가지러 오셔야합니다.
위치는 해남읍 입니다
이번주 수요일~금요일 오전 사이에 거래가능합니다.
연락주세요",전남 해남군 해남읍,"35,000원",https://www.daangn.com/articles/343562980
어린이 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/a62726df2eaa0f7b4882a6cbc139252a4c5fa19d0a508ab18f73e0cda1f4237f.webp?q=82&s=300x300&t=crop,오래 방치해놔서 타이어는 교체해야합니다!,전남 해남군 해남읍,"10,000원",https://www.daangn.com/articles/343194980
접이식 20인치 자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202201/28803C16D96581B947B0C666229E301EC9191A17E5E570F65E9DA93F93443390.jpg?q=82&s=300x300&t=crop,"마실용으로 타기좋은 자전거 입니다
필요하신분은 연락주셔요",전남 해남군 문내면,"72,000원",https://www.daangn.com/articles/337054212
새 자전거 판매합니다,https://dnvefa72aowie.cloudfront.net/origin/article/202201/9cb51f992ba5bf374cad480936a22bdd9359492f0f894dd7c09e8dc6f2115506.webp?q=82&s=300x300&t=crop,새자전거 판매합니다,전남 해남군 해남읍,"100,000원",https://www.daangn.com/articles/343026954
자전거수리용품,https://dnvefa72aowie.cloudfront.net/origin/article/202201/e7b5b84543f6bdf30d964505159bac6d6db8b9bd9748022d76a9b074ed670f9a.webp?q=82&s=300x300&t=crop,핸드폰거취대  휴대공기주입기  육각  물병거취대 수리톨,전남 해남군 해남읍,"20,000원",https://www.daangn.com/articles/341182640
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/87b68918cf5c57e5981802eb5ea2c26c4e6e91fff9d2960ed59a97309e2e03e4.webp?q=82&s=300x300&t=crop,중고 자전거 가져가세요 흠이있다면 왼쪽 페달이 헐렁거리네요.. 연락주세요^^,전남 해남군 해남읍,-,https://www.daangn.com/articles/341002393
알톤 MTB 산악 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202201/C535B3A5C88ADC778CBE4AA5F205EE1C897D505DD1885BD69D23CA85B7EE8235.jpg?q=82&s=300x300&t=crop,운동할때 탈려고 산건데 산책용으로 몇번 타고 창고에 짱박아 둔 상태입니다 가격조율 가능 연락주세요,전남 해남군 해남읍,"200,000원",https://www.daangn.com/articles/338266731
하이브리드 자전거 21단,https://dnvefa72aowie.cloudfront.net/origin/article/202112/889b349be28a8cb01d4f4545b7e3403be8dac2d54d6c7bc7b27f7328e7079b8a.webp?q=82&s=300x300&t=crop,"오늘 수리완료된 하이브리드자전거 급처합니다 손볼곳이없어서 바로 탈수있습니다
직거래구요 구매하실분은 쳇주세요 생활기스가있긴한데 타는데는 지장없습니다
환불이나 교환안됩니다",전남 해남군 해남읍,"40,000원",https://www.daangn.com/articles/334370258
자전거케리어,https://dnvefa72aowie.cloudfront.net/origin/article/202111/8fbdf7e297c2529af12083b1624c7b750828beb0d76d7a73d0d37df1ea3fe21b.webp?q=82&s=300x300&t=crop,"가로바는 없습니다.
두개 한조 저렴한 가격으로 판매합니다
녹 약간 오른거 제거하고 락카칠했습니다
상태양호 루프박스 어닝 설치관계로~~",전남 해남군 화원면,"120,000원",https://www.daangn.com/articles/309051996
로드 자전거 빠리 가져갈 수록 더 깍아줌,https://dnvefa72aowie.cloudfront.net/origin/article/202111/6db1867d8021b5dbe5e7cab4dcd50f75064bb26a4ef2013cb52bd2b0a4756505.webp?q=82&s=300x300&t=crop,"가격제안 가능
젤 안장도 드림
핸드폰 거치대 포함
안장에 상처 있음
tt바 제외
페달은 기본 페달임
160초반까지 안장 올려 탑승 가능
영안으로 가지러 오셔야 함
모든기능 정상작동
빨리 가져갈수록 더 깍아 드리겠습니다
세차해서 드릴것입니다",전남 해남군 옥천면,"112,000원",https://www.daangn.com/articles/320517873
실내  자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/a96b4bd99a2429b68eba94fe72c9163057134263c62ba74256207b1ac6ed67c0.webp?q=82&s=300x300&t=crop,"실내  자전거 운동기구
40000판매  합니다
열락번호010  8822  5020",전남 해남군 황산면,"40,000원",https://www.daangn.com/articles/328715287
26인치 MTB 자전거 ( 칼라스10 ),https://dnvefa72aowie.cloudfront.net/origin/article/202112/6D4A0971BDFA2FDAC71461543AF99D383A00E42B9E12D42F3AB7B587D3B6D7E2.jpg?q=82&s=300x300&t=crop,"작년에 35만원 가량 주고 구매한 아팔란치아 칼라스10 입니다. 휠은 26인치 입니다.
어른분들뿐만 아니라 학생들에게도 크지 않고 잘 맞습니다
서스펜션도 달려있습니다
잘 보이지 않는 생활 기스는 존재합니다만 자전거는 잘가고 잘 섭니다 

잘 안타게되어서 판매합니다
연락주세요 !",전남 해남군 해남읍,"150,000원",https://www.daangn.com/articles/328068453
실내 자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202112/3626372e2a9b5607e0dc1606018f9b88630414346071bc7cc8783069723523be.webp?q=82&s=300x300&t=crop,"운동 할려고샀는데 지방으로 가게되어 팝니다
무게감있어  화물차 있으신분이 오셔야될듯요
가까운 거리는 실어드릴수 있어요",전남 해남군 계곡면,"100,000원",https://www.daangn.com/articles/327060071
자 전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/4223d35f467600c18d3a3098c0f0871e5cab855891ff4c9106b842844a20d73f.webp?q=82&s=300x300&t=crop,기아 7단 자전거 간편하고 자동차 나 버스에  실고다니기  쉬어요,전남 해남군 황산면,"100,000원",https://www.daangn.com/articles/330244829
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/9f47f4bc7ee39bbb73c7092e2164f9df68b326c83d965599f6e95ae03b792da0.webp?q=82&s=300x300&t=crop,"어린이 자전거 입니다.
바로 타시면 됩니다.
4발 2발 가능합니다",전남 해남군 해남읍,"40,000원",https://www.daangn.com/articles/325910786
멜킨 스핀바이크 입니다,https://dnvefa72aowie.cloudfront.net/origin/article/202112/51d1bee5396ecde25cd5288a2a4da377c5e946934dab1612aca84b58d39bc191.webp?q=82&s=300x300&t=crop,"멜킨 스핀바이크 실내자전거입니다.
1~2번 타고 바빠서 타질못했습니다.거의 새제품이에요 소음도 없어서 새벽에 타도 됩니다
18kg휠이라 스피닝도 할수있어요
스피닝장갑도 드릴게요!

사고싶으신분 연락주세요!",전남 해남군 해남읍,"150,000원",https://www.daangn.com/articles/327594021
삼천리자전거 아팔란치아 칼로스35  자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202112/89de7c9dbbd5739f6ade881621bd040c61e74e957d262b76eb768ad0b46a12ed.webp?q=82&s=300x300&t=crop,"정가 50만원대 상품이구요
상태좋습니다 안장커버 번호키 다드려요
노란색 자물쇠는 키를 잃어버려서 절단기로 자르셔야해요ㅜㅜ
중고거래 특성상 반품 환불 불가 합니다",전남 해남군 해남읍,"200,000원",https://www.daangn.com/articles/323487597
어린이자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/692848cf2d59bde5e60ad11746b7b053ebec1353696864ce9ad07d6246b24694.webp?q=82&s=300x300&t=crop,"사용하는데 전혀문제 없습니다.
4세부터 가능합니다",전남 해남군 해남읍,"40,000원",https://www.daangn.com/articles/324229321
숀리 실내 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/1d4eeb6a25e78ab20a1399375018b85aaf805a8a67342df84797b42c5c0ef02d.webp?q=82&s=300x300&t=crop,"잘 타다가 귀찮아서 한쪽으로 밀어놓았습니다.

사용감 있지만 각종 기록들 표시 잘 돼구요.

새것처럼 1단부터 8단까지 원활한 작동됩니다.

필요하다면 멀지 않은 거리는 가져다드리겠습니다.",전남 해남군 해남읍,"100,000원",https://www.daangn.com/articles/323969810
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/065b634324fdaeae85aa3bc714441ef002c648267156d3c4b31c842f89b98907.webp?q=82&s=300x300&t=crop,21단 기어 싸게팝니다(새거예요),전남 해남군 해남읍,"85,000원",https://www.daangn.com/articles/323774286
자전거보호대,https://dnvefa72aowie.cloudfront.net/origin/article/202111/c455c95a0a6aa7cef31d15b1bc8ed5b9e15e1048711021add3029b50e0e05fd8.webp?q=82&s=300x300&t=crop,자전거 무릎보호대 1쌍과 팔꿈치보호대 1쌍을 모두 한망에 담아 드려요.  새상품입니다.  탈부착도 편하게 되어 있어요. 제가 필요없어서 가격낮춰 드립니다.,전남 해남군 해남읍,"40,000원",https://www.daangn.com/articles/317000789
숀리 엑스바이크 실내자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/9FA4AC4A3E2D0937E63675579EFECDC2F701DC2E52672452F05DFC1B35C9BAF9.jpg?q=82&s=300x300&t=crop,"숀리 엑스바이크 실내자전거 판매해요
가지러 오셔야해요
해남읍내는 배달도 해드려요",전남 해남군 해남읍,"60,000원",https://www.daangn.com/articles/322163860
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202112/122d59df6c5ac648d6d1cb56873ef150a5d01f575f823937642999bf1cd89f8f.webp?q=82&s=300x300&t=crop,필요하신분  쳇  주세요,전남 해남군 해남읍,"350,000원",https://www.daangn.com/articles/321893905
실내 헬스자전거 나눔,https://dnvefa72aowie.cloudfront.net/origin/article/202112/889612b82eab05d898a14d5ed18172893a55177eb201e00e56f8c41cda0d65d7.webp?q=82&s=300x300&t=crop,"집에서 운동하실분 무료 나눔합니다^^
가지러오셔야해요
반품은 앙돼요",전남 해남군 해남읍,나눔,https://www.daangn.com/articles/321482089
어린이 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202111/056860ab7b0b07b0d27c3d03956e3a0b750796eb374f6027c70c9f899264e7a2.webp?q=82&s=300x300&t=crop,"4발 자전거 입니다. 2발도 사용 가능합니다. 
물건은 하자 없습니다.",전남 해남군 해남읍,"40,000원",https://www.daangn.com/articles/320069271
자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202111/aceb8b82e629c333ad01dfae79e975bc34f1318e4df6ebcce86fc32b0e7bad9e.webp?q=82&s=300x300&t=crop,조금만  손보고타실분,전남 해남군 황산면,"30,000원",https://www.daangn.com/articles/319093938
자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202111/db0ff3ed298f6156f89ac7e4a0b6da21899785f2a27bc79fa74d3647c6a438ad.webp?q=82&s=300x300&t=crop,"상태 양호하고
 잠금장치도 함께  드려요
해남읍내 해리 입니다",전남 해남군 해남읍,"50,000원",https://www.daangn.com/articles/318606975
어린이  자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202111/30dee4262ef530085f4023aa8bbc27abaf711ad1c8877ca0de6660f130e19b90.webp?q=82&s=300x300&t=crop,"어린이 4발 자전거 두발사용가능.
상태좋아요. 고장난 부분  없습니다.",전남 해남군 해남읍,"40,000원",https://www.daangn.com/articles/314444721
접이식 자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202111/90b138cf23390b42590de47b9918df718bae852f74a8411a8210fe7dd9e8ea96.webp?q=82&s=300x300&t=crop,"반품  불가합니다  필요한 분만 톡주세요
먼저오신분 약속없이 위치는 
황산면  중학교  앞 큰길 쪽",전남 해남군 황산면,"70,000원",https://www.daangn.com/articles/311957616
아기자전거,https://dnvefa72aowie.cloudfront.net/origin/article/202111/3741da0b5287bd5d45f43ae73bd02914319ed94fe408314001b48ed951e44d41.webp?q=82&s=300x300&t=crop,밖에딱두번타고 주차중입니다,전남 해남군 해남읍,"25,000원",https://www.daangn.com/articles/311210799
접이식 자전거 팝니다,https://dnvefa72aowie.cloudfront.net/origin/article/202111/aafe2a69115e312719f464595d4aaa5c5fb98369339d93bb4ddfef56fef9f338.webp?q=82&s=300x300&t=crop,"미니벨로 접이식 자전거(20인치)
팝니다.
해외구매로 구매하고서 조립만 해놓고
한번도 타질 않아서 팔려고 합니다.
새제품이라 생각하시면 됩니다.
차 트렁크에 실어놓은 상태여서 따로 사진은 못찍어서 구매사이트에서 퍼온 사진이고요.. 보시는대로입니다.
바퀴에 보이는 색은 스티커인데 
안붙어있습니다(참고)
저기에서 의자 안장만 따로 푹신한걸로 구매해서 교체해놓은 상태입니다",전남 해남군 송지면,"130,000원",https://www.daangn.com/articles/310956360
